DSA Master Sheet									
"Sr 
No."	"Sub
Sr No."	Topic	Subtopic	Problem Name	Link	Difficulty	Status	Notes	Revisit
PHASE 1 : FUNDAMENTALS & LINEAR DATA STRUCTURES									
1	1	Arrays	Array Basics	Find Element at a Given Index	Link	★☆☆☆☆	Not Attempted		Not Attempted
2	2			Min and Max in Array	Link	★☆☆☆☆	Tried (couldn't think of logic)		Revisit
3	3			Sum of Array	Link	★☆☆☆☆	Logic Done (couldn't code)		Can Revisit 
4	4			Sum of Digits	Link	★☆☆☆☆	Code Done (but has error)		No Revisit Required
5	5			Check If Array is Sorted	Link	★☆☆☆☆	Done 		
6	6			Alternates In Array	Link	★☆☆☆☆	Done 		
7	7		Core Manipulations	Remove Duplicates from Array	Link	★★☆☆☆			
8	8			Second Largest in Array	Link	★★☆☆☆			
9	9			Reverse an Array	Link	★★☆☆☆			
10	10			Missing Number	Link	★★☆☆☆			
11	11			Segregate 0s and 1s	Link	★★☆☆☆			
12	12			Maximum Consecutive Ones	Link	★★☆☆☆			
13	13			Palindromic Array	Link	★★☆☆☆			
14	14			Move Zeroes to End	Link	★★☆☆☆			
15	15			Sort array with 0's 1's and 2's (Dutch Flag)	Link	★★☆☆☆			
16	16		Intermediate Problems	Equilibrium Point	Link	★★★☆☆			
17	17			Reverse Integer	Link	★★★☆☆			
18	18			Leaders in Array	Link	★★★☆☆			
19	19			Increasing Array	Link	★★★☆☆			
20	20			Rearrange Array Elements by Sign	Link	★★★☆☆			
21	21			Rotate Array by One	Link	★★★☆☆			
22	22			Majority Element I (Boyer - Moore)	Link	★★★☆☆			
23	23		Advanced Problems	Rotate Array by K steps	Link	★★★★☆			
24	24			Wiggle Sort II	Link	★★★★☆			
25	25			Majority Element II	Link	★★★★☆			
26	26			Best Time to Buy and Sell Stock	Link	★★★★☆			
27	27			Next Permutation	Link	★★★★☆			
28	28			Maximum Value Of Expression	Link	★★★★☆			
29	29			First Missing Positive	Link	★★★★★			
30	1	2D Arrays	Matrix Basics	Sum of elements in a matrix	Link	★★☆☆☆			
31	2			Count Number Of Zeroes	Link	★★☆☆☆			
32	3			Count Negative Numbers in a matrix	Link	★★☆☆☆			
33	4			Matrix Diagonal Sum	Link	★★☆☆☆			
34	5		Matrix Operations	Addition of Two Square Matrix	Link	★★★☆☆			
35	6			Multiply Matrices	Link	★★★☆☆			
36	7			Transpose Matrix	Link	★★★☆☆			
37	8		Advanced Matrix	Spiral Matrix	Link	★★★★☆			
38	9			ZigZag Matrix	Link	★★★★☆			
39	10			Rotate Matrix (90°)	Link	★★★★☆			
40	11			Determine Whether matrix can be obtained by rotation	Link	★★★★☆			
41	12			Set Matrix Zeroes	Link	★★★★★			
